case,label,filename,fresh_lightning
14,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T070039_20210706T084209_19322_02_020301.nc,47521
14,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210706T084209_20210706T102339_19323_02_020301.nc,12343
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T151515_20210712T165645_19412_02_020301.nc,237
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T165645_20210712T183814_19413_02_020301.nc,584
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T183814_20210712T201944_19414_02_020301.nc,379
15,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210712T201944_20210712T220114_19415_02_020301.nc,53
16,4,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210723T215423_20210723T233553_19572_02_020301.nc,1705
16,4,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210723T233553_20210724T011722_19573_02_020301.nc,217
17,5,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T012325_20210729T030455_19645_02_020301.nc,44
17,6,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T030455_20210729T044624_19646_02_020301.nc,135
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T163652_20210729T181821_19654_02_020301.nc,3293
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T181821_20210729T195951_19655_02_020301.nc,1908
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T195951_20210729T214121_19656_02_020301.nc,1650
18,1,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T214121_20210729T232250_19657_02_020301.nc,424
19,5,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T195951_20210729T214121_19656_02_020301.nc,56256
19,5,./output_gld360_70deg_720min/clean_lightning/202107/S5P_PAL__L2__NO2____20210729T214121_20210729T232250_19657_02_020301.nc,6043
20,2,./output_gld360_70deg_720min/clean_lightning/202108/S5P_PAL__L2__NO2____20210801T020738_20210801T034908_19688_02_020301.nc,1191
20,1,./output_gld360_70deg_720min/clean_lightning/202108/S5P_PAL__L2__NO2____20210801T034908_20210801T053037_19689_02_020301.nc,1475
21,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T142534_20200615T160704_13850_01_020301.nc,3081
21,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T160704_20200615T174834_13851_01_020301.nc,270
21,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T174834_20200615T193004_13852_01_020301.nc,272
21,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200615T193004_20200615T211134_13853_01_020301.nc,31
22,4,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200616T021603_20200616T035733_13857_01_020301.nc,152
22,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200616T035733_20200616T053903_13858_01_020301.nc,194
23,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200619T145056_20200619T163226_13907_01_020301.nc,23695
23,2,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200619T163226_20200619T181355_13908_01_020301.nc,36801
23,4,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200619T181355_20200619T195525_13909_01_020301.nc,9053
24,2,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200620T143153_20200620T161323_13921_01_020301.nc,13130
24,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200620T161323_20200620T175453_13922_01_020301.nc,1693
25,8,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200621T155421_20200621T173551_13936_01_020301.nc,23458
25,8,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200621T173551_20200621T191720_13937_01_020301.nc,6422
26,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T002150_20200622T020320_13941_01_020301.nc,426
26,5,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T020320_20200622T034449_13942_01_020301.nc,226
26,5,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T034449_20200622T052619_13943_01_020301.nc,110
27,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T171648_20200622T185818_13951_01_020301.nc,425
27,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T203948_20200622T222117_13953_01_020301.nc,5731
28,6,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T171648_20200622T185818_13951_01_020301.nc,4596
28,6,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200622T185818_20200622T203948_13952_01_020301.nc,2654
29,3,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200623T133446_20200623T151615_13963_01_020301.nc,19902
29,2,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200623T151615_20200623T165745_13964_01_020301.nc,26084
30,5,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200624T163842_20200624T182012_13979_01_020301.nc,2088
30,2,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200624T182012_20200624T200142_13980_01_020301.nc,72
31,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200625T180109_20200625T194239_13994_01_020301.nc,175
31,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200625T194239_20200625T212409_13995_01_020301.nc,24
31,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200625T212409_20200625T230539_13996_01_020301.nc,6381
32,2,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200629T182626_20200629T200756_14051_01_020301.nc,78254
32,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200629T200756_20200629T214926_14052_01_020301.nc,16997
32,1,./output_gld360_70deg_720min/clean_lightning/202006/S5P_PAL__L2__NO2____20200629T214926_20200629T233055_14053_01_020301.nc,39530
33,7,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200701T005322_20200701T023451_14069_01_020301.nc,40
33,8,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200701T023451_20200701T041621_14070_01_020301.nc,18
34,2,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200701T160649_20200701T174819_14078_01_020301.nc,304
34,2,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200701T174819_20200701T192949_14079_01_020301.nc,164
35,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200706T225858_20200707T004028_14153_01_020301.nc,2333
35,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200707T004028_20200707T022158_14154_01_020301.nc,508
36,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200711T230506_20200712T004635_14224_01_020301.nc,945
36,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200712T004635_20200712T022805_14225_01_020301.nc,4284
36,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200712T022805_20200712T040934_14226_01_020301.nc,2676
37,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200712T192301_20200712T210431_14236_01_020301.nc,43812
38,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200712T210431_20200712T224601_14237_01_020301.nc,14743
39,1,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200724T020201_20200724T034330_14396_01_020301.nc,1746
39,3,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200724T034330_20200724T052500_14397_01_020301.nc,2513
40,3,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200725T014255_20200725T032424_14410_01_020301.nc,28
40,3,./output_gld360_70deg_720min/clean_lightning/202007/S5P_PAL__L2__NO2____20200725T032424_20200725T050554_14411_01_020301.nc,892
41,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200812T212118_20200812T230248_14677_01_020301.nc,4417
41,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200812T230248_20200813T004417_14678_01_020301.nc,4966
42,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200814T002510_20200814T020639_14693_01_020301.nc,1107
42,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200814T020639_20200814T034809_14694_01_020301.nc,4477
42,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200814T034809_20200814T052938_14695_01_020301.nc,1200
43,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200825T221707_20200825T235836_14862_01_020301.nc,608
43,1,./output_gld360_70deg_720min/clean_lightning/202008/S5P_PAL__L2__NO2____20200825T235836_20200826T014005_14863_01_020301.nc,151
